,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9141553020400474,0.9473098744839792,0.9543859649122807,0.5762023878773738,12870.143021580687,-0.549633803017844
1,"('sipu', 'a2')",0.9222566535913777,0.9587500260785988,0.9588235294117647,0.5797460882303556,17056.24698761558,-0.5467396035538027
2,"('sipu', 'a3')",0.9373762821575673,0.9677866086556061,0.9670748299319726,0.5875477641564796,23386.526714369287,-0.5353351070159397
3,"('sipu', 'aggregation')",0.7948168532268814,0.9164787478931854,0.7588522588522588,0.4809947115823646,1376.7679376656797,-0.7215876596605263
4,"('sipu', 'compound')",0.5505771509182779,0.7328785441031515,0.7365227175441815,0.4175437666667181,828.714488448847,-0.8835336392795159
5,"('sipu', 'd31')",0.9201353639476055,0.9508359700524289,0.9579999999999997,0.5640591812820714,8778.526216515365,-0.5560077774590084
6,"('sipu', 'flame')",0.18724407090631684,0.32968836290224374,0.5620915032679739,0.32881295578744196,122.78172449372738,-1.1847504732007272
7,"('sipu', 'jain')",0.5146169826822441,0.5052245720315265,0.8115942028985508,0.48561356046983856,468.062030885521,-0.8001192680765151
8,"('sipu', 'pathbased')",0.484740691972538,0.5662943472253806,0.6727272727272728,0.5254677713557859,336.43235355271923,-0.7619912148861935
9,"('sipu', 'r15')",0.9819955008205571,0.9864167293669317,0.9910714285714286,0.7495068152352143,4783.719882882679,-0.31979135322914626
10,"('sipu', 's1')",0.9833356638705167,0.9848134321873525,0.9914506664444188,0.7085450712672836,22326.218059352734,-0.3658911444762412
11,"('sipu', 's2')",0.9057496134305151,0.9268386036429024,0.949832608910673,0.6075940013541042,12378.99546295087,-0.485548411363008
12,"('sipu', 's3')",0.677113293406452,0.7705261477748915,0.8052543818800932,0.453217955292011,6891.117298905296,-0.6948700977112744
13,"('sipu', 's4')",0.5532287863689617,0.6942078032277865,0.6828052064136398,0.4108522565052941,4765.30747847326,-0.8177758345259498
14,"('sipu', 'spiral')",-0.003558008596329988,0.00273978025369659,0.03695168708245489,0.35453957875056974,223.20652317750728,-0.8852184139360798
15,"('sipu', 'unbalance')",0.999976887161302,0.9993880247919358,0.9985714285714286,0.8576858160246542,220804.03895402903,-0.29212269561039733
16,"('uci', 'ecoli')",0.48581317266607343,0.634707818570224,0.5217211360068503,0.2357608341085063,137.6405835949221,-1.3077076022272631
17,"('uci', 'glass')",0.2620306253377113,0.39462238210984363,0.3441853059339982,0.4621918287585372,118.71115609653882,-0.981728598719557
18,"('uci', 'ionosphere')",0.18717419199615046,0.13862599511789814,0.44126984126984126,0.2970582866788457,115.99715114788819,-1.5439543025641662
19,"('uci', 'sonar')",-0.004416943633461022,0.0019152745563517717,0.045973808860406695,0.19614299982018532,54.04940118930435,-1.6704741969544552
20,"('uci', 'statlog')",0.3081352227498294,0.48954804420981723,0.4055555555555555,0.29972219553835705,992.7984448973273,-1.101778442452899
21,"('uci', 'wdbc')",0.2872456066095377,0.31908185424236946,0.4056603773584906,0.6899796402246882,1088.1623993816459,-0.4794639718018538
22,"('uci', 'wine')",0.36840191587483156,0.4160766539899294,0.5302354380520411,0.564479713541122,552.8518320804908,-0.5357342817473
23,"('uci', 'yeast')",0.1539773862401009,0.2655279004381626,0.3815297874230487,0.1397196715060731,236.37499142452808,-1.4281133755912028
24,"('fcps', 'atom')",0.09862621818643041,0.2196955061119616,0.31499999999999995,0.410737117015655,242.85808407660056,-1.143757464647151
25,"('fcps', 'chainlink')",0.28033875067131936,0.36582450100018993,0.53,0.3238379376839964,497.7657959195721,-1.1657483897016871
26,"('fcps', 'engytime')",0.7184533725930805,0.6469787065794292,0.84765625,0.39934681084524903,2854.6517385111774,-0.9819644858931817
27,"('fcps', 'hepta')",1.0,0.9999999999999999,1.0,0.7019232643413871,519.9375177851588,-0.355038569756824
28,"('fcps', 'lsun')",0.3688216835344848,0.5149579154630487,0.6375,0.4814258269044281,450.13368211964007,-0.7862028984195653
29,"('fcps', 'target')",0.6387791202472747,0.6386463612421599,0.8258953168044076,0.5683248952002161,576.102919878805,-0.6680170024563501
30,"('fcps', 'tetra')",0.9672676330087653,0.9639667391957355,0.9833333333333334,0.4952114068070916,402.5689214393268,-0.6875570246319677
31,"('fcps', 'twodiamonds')",1.0,1.0,1.0,0.6305972286378877,2386.426173452885,-0.541801323405129
32,"('fcps', 'wingnut')",0.6011477451948987,0.49346953546320266,0.7755905511811023,0.43491045273870005,976.3759084663571,-0.8991085488149065
33,"('graves', 'dense')",0.9212046771339222,0.8782063702756282,0.96,0.6766637700970716,486.9399140639118,-0.4580003974849464
34,"('graves', 'fuzzyx')",0.6369859694549721,0.7382233244355527,0.7957125766631508,0.5195666117419786,1530.6463032900974,-0.5986510590842179
35,"('graves', 'line')",-0.10430674209853,0.1027295409389065,0.2549999999999999,0.4951355838990078,276.3286951843881,-0.5154838398244347
36,"('graves', 'parabolic')",0.6205673411511297,0.5228480075699474,0.786537353562512,0.5158632913374279,1501.3819685522626,-0.741873523298367
37,"('graves', 'ring')",0.11646250093160987,0.23690228961151621,0.3420000000000001,0.39635505056450976,363.3042063642847,-1.0465296003467217
38,"('graves', 'ring_noisy')",0.10495640393513929,0.22673587688373634,0.3267326732673268,0.39342195969428245,356.0509274462729,-1.0304971986532336
39,"('graves', 'ring_outliers')",0.6295044726967147,0.6564885826454878,0.3355,0.5431940387292395,755.8588731148806,-0.7396110945247634
40,"('graves', 'zigzag')",0.14169575875900392,0.36879604438513225,0.6166666666666667,0.49446844047771626,391.9619667249602,-0.7403864982356931
41,"('graves', 'zigzag_noisy')",0.12480908527915027,0.3509980802670467,0.5943396226415094,0.5049927704038423,416.9568422762995,-0.666021953674258
42,"('graves', 'zigzag_outliers')",0.14169575875900392,0.36879604438513225,0.6166666666666667,0.49446849219144445,391.9618501374047,-0.7403862245274823
