,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9579972519816538,0.969899061425558,0.9782456140350877,0.594410496155394,13776.942793354976,-0.5259784166642382
1,"('sipu', 'a2')",0.9294164456037843,0.9685949011786416,0.9435294117647058,0.5776054182734722,16159.526293653007,-0.570623086864122
2,"('sipu', 'a3')",0.9474733347900828,0.9764856006763963,0.9587755102040812,0.5895824814172085,22809.632734555482,-0.541664078079499
3,"('sipu', 'aggregation')",0.7677897933966054,0.8631924053130222,0.725296272355096,0.4777845195099405,1348.936250461101,-0.7549366626734383
4,"('sipu', 'compound')",0.4576382570957595,0.6640699378212606,0.5280737479361586,0.35595977359749464,558.4645177470095,-0.9247246758093826
5,"('sipu', 'd31')",0.8958358160883818,0.9466856369628394,0.9273333333333331,0.547822361843792,8032.704969832211,-0.6229986196181303
6,"('sipu', 'flame')",0.43119147182018985,0.4173982627275728,0.7171512283074151,0.37490490449950226,153.46898041173745,-1.1286589591476552
7,"('sipu', 'jain')",-0.004480545701519964,0.20241377146499606,0.4347826086956521,0.449219847619621,354.7307456757907,-0.744055036334436
8,"('sipu', 'pathbased')",0.4359999966655424,0.5239241567538232,0.6090909090909091,0.5295303776391497,336.56343527443823,-0.6052218263941866
9,"('sipu', 'r15')",0.9927781994136302,0.9942285075104654,0.9964285714285713,0.7527392487365961,4871.984210726227,-0.3148158955837106
10,"('sipu', 's1')",0.9897050535486753,0.9895136205908591,0.9948267156407173,0.7109199029418907,22612.355693149595,-0.3664652366423466
11,"('sipu', 's2')",0.8657388552610759,0.9276650265643676,0.8852866977337686,0.5682266489205312,9048.372606030282,-0.5979553342858791
12,"('sipu', 's3')",0.6938332336987817,0.7920902504273649,0.78287374910305,0.4516789788803681,6104.796014158953,-0.7629441867912837
13,"('sipu', 's4')",0.6442783192234314,0.7340727247761654,0.7936743147991638,0.4324320471805193,5139.9804103375145,-0.7083944199570207
14,"('sipu', 'spiral')",-0.00509058447171381,0.0011927048318884873,0.028415752626475554,0.364184088652737,234.55167837231335,-0.8938310566424775
15,"('sipu', 'unbalance')",1.0,1.0,1.0,0.8577568698722174,221461.06842793556,-0.29015288799221434
16,"('uci', 'ecoli')",0.6547613941749002,0.6503925228235492,0.6294919366347937,0.19924602584500886,94.73031399349541,-1.5709352352427353
17,"('uci', 'glass')",0.2276685679224134,0.3161187117144441,0.25145405512011687,0.34818951611821664,71.11379977881437,-1.153155107777062
18,"('uci', 'ionosphere')",0.40137582479292433,0.31935754556730356,0.6526984126984128,0.18053697700437588,36.19493513481977,-2.8512484902712636
19,"('uci', 'sonar')",0.013377849783081734,0.014200471851220413,0.13977895421194386,0.1977570229750034,59.36833221949101,-1.8034425423457519
