,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9475367327544099,0.9648801656352066,0.9726315789473684,0.5900412550556655,13601.140739343904,-0.5325200303353856
1,"('sipu', 'a2')",0.9463799541707426,0.9693100539176409,0.9717647058823531,0.584036194360341,16445.669382533706,-0.5667339339938957
2,"('sipu', 'a3')",0.9638966073855055,0.9787869910071041,0.9813605442176866,0.5996979399452985,24478.574828887613,-0.5206981502131857
3,"('sipu', 'aggregation')",0.5648993203134166,0.7869978955489193,0.7166810313869139,0.23797998581226432,268.26596181060205,-2.504095660744558
4,"('sipu', 'compound')",0.4951628634347766,0.748189762987953,0.48607594936708864,0.42193711114667887,543.5757836840087,-0.79093003757668
5,"('sipu', 'd31')",0.9440150990793714,0.9624587522779229,0.9713333333333333,0.5745942689115204,9120.695538213015,-0.5462912980132891
6,"('sipu', 'flame')",0.3879528065058569,0.423109179633242,0.7009240477800316,0.3703443058589545,151.2078643256851,-1.1386752057846106
7,"('sipu', 'jain')",1.0,1.0,1.0,0.4024600309076855,279.4831178803378,-0.8996694946275895
8,"('sipu', 'pathbased')",0.5133813906651226,0.5860166373729129,0.709090909090909,0.5175169332345666,313.53473991104414,-0.8499652134430703
9,"('sipu', 'r15')",0.7458557344104949,0.9111462861531187,0.7535714285714287,0.4009221009826294,83.18117591371004,-2.8652302196932884
10,"('sipu', 's1')",0.9549887261660205,0.9709257772645941,0.9731117052429895,0.6802648246437815,19111.523565897965,-0.387230019956127
11,"('sipu', 's2')",0.9263442369711367,0.9419834757365356,0.9618551457380011,0.6144410767491131,12827.023516483325,-0.4794615091488337
12,"('sipu', 's3')",0.7259329995272221,0.7968837927325627,0.8453624259475064,0.48067782160788475,7570.620711942084,-0.6503005262449126
13,"('sipu', 's4')",0.6013123766038758,0.7166762156921538,0.7403140401897226,0.42575321008464106,5017.16459279461,-0.7231874493439546
14,"('sipu', 'spiral')",0.27640319629127186,0.45607500382990196,0.559299191374663,-0.06534312383753352,10.513870251810127,-3.485378521616452
15,"('sipu', 'unbalance')",0.41262177861503657,0.6717072991453844,0.621642857142857,0.047630299277629344,2170.547393164887,-1.6539002329601429
16,"('uci', 'ecoli')",0.291878405064646,0.5263266060044368,0.4484158698444412,0.19970468794570534,116.44865754108736,-1.3694503699455478
17,"('uci', 'glass')",0.14648339280155176,0.3092538999186859,0.3914475792643829,0.10861637535955246,70.18469049845312,-1.336816528739712
18,"('uci', 'ionosphere')",-0.030749427181216694,0.05092166186418544,0.19174603174603178,0.26679012624529463,68.60870876348609,-1.6543993351852808
19,"('uci', 'sonar')",-0.004796653892522733,0.0005003973479240295,0.02405498281786933,0.1999414974726347,55.90582904160374,-1.6835627644462035
20,"('uci', 'statlog')",0.3864044949429062,0.6361599731353165,0.44949494949494956,0.22255621711704238,444.46615921638085,-1.1014312429493474
21,"('uci', 'wdbc')",0.4194955229090943,0.4171381784196669,0.7083927910786958,0.4064674169948094,445.0168835655092,-0.7418854023382686
22,"('uci', 'wine')",0.35906129467464126,0.4199229706289377,0.5817319169252806,0.5567706715729177,533.857763041602,-0.5293470403262678
23,"('uci', 'yeast')",0.15220835009035485,0.2833421079144037,0.38780363980404864,0.18015954113271632,266.7812751207312,-1.3141599490773994
24,"('fcps', 'atom')",1.0,1.0,1.0,0.31149300255148044,1.159833609930168,-20.197949822213985
25,"('fcps', 'chainlink')",1.0,1.0,1.0,0.1666516457318623,250.86493232954078,-1.9903185594461685
26,"('fcps', 'engytime')",0.6913884946651134,0.5867535971751812,0.83154296875,0.4135444462165956,3079.109001376205,-0.9762788755634081
27,"('fcps', 'hepta')",0.6901594734566846,0.8557540927051603,0.65,0.33062817788749216,63.260010957834574,-1.1808750888007273
28,"('fcps', 'lsun')",1.0,1.0,1.0,0.4774563781008524,384.43866488262984,-0.7089984793774091
29,"('fcps', 'target')",0.39025676808266263,0.5714799021922765,0.7149367088607594,0.36567927933525474,513.832612116405,-0.8288428799497388
30,"('fcps', 'tetra')",1.0,1.0,1.0,0.505788934711956,418.39125415785816,-0.6626445556498229
31,"('fcps', 'twodiamonds')",1.0,1.0,1.0,0.6305972286378877,2386.426173452885,-0.541801323405129
32,"('fcps', 'wingnut')",1.0,1.0,1.0,0.4482302358265913,1061.0164444544546,-0.8890184139267906
33,"('graves', 'dense')",0.9602000804038779,0.9291252238549083,0.98,0.6695995304725697,467.36280134228156,-0.4590172180565795
34,"('graves', 'fuzzyx')",0.5169245617838621,0.6803757496458042,0.7482835188244501,0.544579728152892,1679.5105344953906,-0.5550228878805423
35,"('graves', 'line')",1.0,1.0,1.0,0.1731360872551737,28.051297593505005,-1.2310424091912135
36,"('graves', 'parabolic')",0.6492850499761719,0.5416674708141027,0.8063664298060305,0.530508018180462,1603.1948140060535,-0.7277049172972428
37,"('graves', 'ring')",1.0,1.0,1.0,0.26779105253868213,0.0015831456571041202,-660.85574628779
38,"('graves', 'ring_noisy')",1.0,1.0,1.0,0.266222265155309,0.019332961126080246,-189.53876762764503
39,"('graves', 'ring_outliers')",0.5053544637556924,0.5760302566449987,0.603,0.3644888882010512,244.7063362440659,-0.9830752007878895
40,"('graves', 'zigzag')",1.0,1.0,1.0,0.12409751714410708,30.652586627228136,-1.5733639036597682
41,"('graves', 'zigzag_noisy')",1.0,1.0,1.0,0.11147229935437344,30.858354705321815,-1.595795133520685
42,"('graves', 'zigzag_outliers')",1.0,1.0,1.0,0.1240976041274914,30.652559038117722,-1.5733644351275418
